id,name,gpa,race,absence_rate,risk,income,lat,lng,grade_0,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,grade_13,grade_14,grade_15,grade_16,grade_17,grade_18,grade_19,grade_20,grade_21,grade_22,grade_23,grade_24,grade_25,grade_26,grade_27
700010,Haley Martin,3.9070120547499996,East Asian,90,13.177509894444455,402944,34.56274806195606,-110.1480059464332,4.397947081,4.652861398,4.271944266,4.754050438,3.634321033,3.480080389,3.600455897,3.915328021,3.484046986,3.303296636,4.115056123,4.359054017,4.205688685,3.639019661,3.98317478,4.155285186,4.247126934,4.601915527,3.710181276,3.839075258,3.657451023,3.555862597,3.675085919,3.702989732,3.975564023,3.453957285,3.999211474,3.026305888
700011,Laurie Mason,2.7177014973571425,Hispanic,31,39.60663339206349,89449,35.501845522706745,-112.16158298240592,3.446076617,3.162324834,3.545515999,3.227362159,3.749381268,3.734487375,3.40514342,3.401523219,4.046580535,3.838427328,4.190378981,3.696134777,3.010751961,2.313802649,2.107757155,2.209565534,2.930058676,2.563033935,2.281583997,1.492219075,2.072896558,2.022183435,2.279287005,1.714326366,1.65186483,1.60325739,1.307395251,1.092321597
700012,Lori Obrien,4.159054903571429,White,37,7.576557698412699,140230,36.407607732143575,-109.41385939269486,3.617112193,3.749072899,3.886458155,4.381575812,3.820058019,3.685123359,3.883300971,4.070551542,4.241695861,3.921197664,3.781685907,3.757487754,3.657243795,4.47747405,3.526820963,4.079257973,3.468829842,4.565300712,4.098865968,4.024612561,4.72375267,4.302464935,4.208806464,4.727771301,4.830249327,5.519407514,4.668491774,4.778867315
700013,Jeremy Shaw,1.738847692821429,South Asian,68,61.3589401595238,30934,33.9451962508833,-109.7133033079354,2.314811897,2.069876339,1.996356789,1.787722167,2.318323798,1.989801938,2.001398301,2.079890972,2.487821355,2.253110954,2.372477918,1.965006504,2.487726753,1.342676395,2.063065589,1.017402147,2.012987438,1.441493106,1.561326293,1.26629368,1.731164871,0.909054226,1.565224594,1.510188132,1.650425205,0.582207523,0.698586617,1.211313898
700014,Michele Mccormick,2.9066630679642858,Black,89,35.40748737857142,191223,35.12371452203914,-111.4941909300032,3.299034531,3.258335449,2.718411144,2.938103908,2.67011484,3.612090477,3.035883531,2.915253253,2.732892581,2.804569712,3.256338054,3.004164079,3.136960587,2.607659507,3.026509245,3.178508462,2.601877316,2.524403733,2.922897939,2.347162571,2.903282507,2.537704541,3.497319826,2.788153396,2.607511607,2.763758853,2.899735692,2.797928562
700015,Kimberly Cabrera,2.8824574872500004,Black,91,35.94538917222221,349724,33.976080561160806,-110.14912483307437,2.625233012,2.60453758,2.660053548,2.542285923,2.181436273,2.435342633,2.988115695,2.587192271,3.407726009,3.082015661,2.618148156,3.05846166,2.502088411,2.873135226,2.466103444,3.186796029,3.027431286,2.445148476,2.705761676,3.571542895,3.377435145,2.803768315,3.700608442,3.256118833,2.643474678,2.189968112,3.665644844,3.50323541
700016,Holly Nicholson,3.8199783395714286,Black,63,15.111592453968242,30078,35.16405250012563,-109.34589975933092,3.888067689,3.970492824,3.444822008,3.547071221,4.08366771,3.696590328,3.024048697,3.738785311,3.794162247,3.219130369,4.168173795,3.653645723,3.413451879,3.833339382,3.93002966,4.216616264,4.583407071,4.112054584,4.027501037,3.280313459,3.983496076,3.741686628,3.996314933,4.182729405,4.538660514,3.827719154,3.560474369,3.502941171
700017,Kristen Clark,1.4501741973928575,White,29,67.77390672460317,314040,36.31081066460648,-110.77319871864071,1.438410938,1.140135121,0.901940884,1.181182156,0.595180857,0.974661903,1.213941072,1.578168852,1.930084842,1.563521588,1.696261665,1.521711023,2.065607009,2.249564943,1.281385127,1.440958814,0.775072646,1.214223261,1.226853443,0.855105063,1.290097567,1.547362648,1.061605951,1.524508189,2.086697645,2.461281587,2.318430955,1.470921778
700018,Eric Bennett,1.8696544992857151,Hispanic,71,58.452122238095214,46237,35.096174213418095,-112.27100437192719,2.26273414,1.154058117,1.892737457,1.383688465,0.973269045,2.624320035,2.788262632,2.458145484,2.235187177,2.046212336,1.955398634,2.55356945,2.428542017,2.135758965,2.035768131,1.816652155,2.047796593,2.007966678,1.929892659,0.856576767,1.976387318,1.595097457,1.89010111,1.451925729,1.451252108,1.052131135,2.212947182,1.133947004
700019,Henry Wilson,3.4132543110714293,White,38,24.149904198412685,101354,34.22421369379284,-111.79890337633893,3.635143922,3.676726876,3.901943585,4.138954563,3.72370804,3.874940277,3.843097367,4.187918778,3.536847754,3.678329449,4.498423672,4.050302508,3.854937069,3.261130368,3.87081166,3.60237914,3.173637019,2.875303171,2.922924938,2.702655535,2.787121909,2.557766197,2.530952377,3.273536819,2.735880705,3.031208689,3.185657558,2.458880765
700020,Robin Patel,2.3297838769642856,White,72,48.227024956349204,408084,35.47682743623115,-111.79108056258096,2.806223789,2.889379677,2.585104369,3.043491018,3.366607477,2.374786707,2.651726311,2.122098246,1.489763628,1.297226505,1.578659876,2.02360268,2.566534899,2.470523808,2.869258871,2.691737411,2.491563089,2.7281869,2.095483423,2.296113272,2.520711844,2.626727637,2.322504025,2.06341771,1.884986603,1.426588832,2.33968945,1.611250498
700021,Jessica Anderson,2.9764356859285717,East Asian,22,33.856984757142854,211674,36.3218946857574,-112.02849322709488,3.362790316,3.382046858,3.110928323,3.422695811,3.283657516,3.870283032,3.053213791,3.316878222,2.548858635,2.801647173,2.931156121,2.37673603,2.387261757,2.753199041,3.274998053,2.897940926,3.849926781,2.677774838,3.415173993,3.017200441,3.076764343,3.21738675,2.43761937,2.021197825,2.998617878,2.881151632,2.656686397,2.316407353
700022,Jacob Shea,2.09274318775,Black,84,53.49459582777778,131051,33.88811696227037,-110.80844679673963,1.974804632,1.876854592,1.971730957,1.719188821,1.828805473,1.708705306,2.385459593,1.885957088,2.644599526,2.626277046,1.788731024,1.608281414,2.542702802,2.72523295,2.548026621,2.390856248,1.798419214,1.820658321,2.304428945,2.198186018,2.512459574,1.308585343,2.369581359,1.639253425,2.448240684,2.318926589,1.929951256,1.721904436
700023,Frank Ortiz,2.750138629535715,South Asian,77,38.88580823253967,264767,33.77248046292826,-110.12709334983458,3.44415296,3.13210428,2.941425605,2.848223434,2.772065188,3.290523326,2.964131965,2.395873051,3.101387006,2.453955353,2.518441267,2.436181399,2.988195184,3.103290909,2.600590202,2.159152414,2.896686228,2.206138063,3.284397374,2.543855518,2.826862125,1.667515477,2.443642047,2.929705819,3.508938846,2.436087646,2.610428289,2.499930652
700024,Brady Rubio,3.3363680938928573,South Asian,69,25.858486802380952,183085,35.21636565739055,-111.05510225343941,3.116510021,3.455041151,2.957553224,3.54487834,4.136547572,4.194411323,3.771698696,3.502260192,3.377134753,3.482557315,2.941649692,4.099826153,3.750451938,4.060797391,3.403103843,3.563444283,2.826837151,3.176901969,2.919462189,2.993927725,2.835409816,3.027366698,3.203214456,3.256132191,2.904083335,2.673918173,3.0883094,3.154877639
700025,Stacy Mcmillan,3.2215381736071422,East Asian,82,28.410262808730167,38289,35.17681515844825,-111.2553694747124,3.293288747,3.224970395,3.484007844,3.69023647,2.31372081,2.994195215,3.870168285,4.030275113,3.719804403,3.581728288,3.524656261,3.269583504,3.373953836,3.677703694,3.504316607,2.983998243,3.060939325,2.148209331,3.257639362,2.428357604,2.787029178,2.804882465,3.357741357,3.860790395,2.508360039,3.210736784,3.163264606,3.0785107
700026,Jennifer Lopez,4.23769995125,East Asian,63,5.828889972222228,193119,35.636230673231175,-111.6334407020256,4.286300872,4.336686803,4.741398869,4.678392976,4.476457243,4.562618698,4.355421903,5.347435442,5.411304646,4.463781347,4.280152404,4.586382909,4.355876202,3.961169744,4.026172522,4.033101111,4.344507265,3.724868071,3.818795149,3.950250677,4.172296742,4.262075029,4.120759635,3.48609893,3.689047534,3.734773312,3.861526002,3.587946598
700027,Donald Schmidt,3.319727228999999,White,98,26.22828380000003,387532,35.15394047995048,-110.38514059737969,3.261011889,3.118500047,3.578895078,3.204095746,3.652969724,3.978637228,3.687751385,3.501701793,3.424442972,3.444044421,3.686604891,3.956890104,4.033345751,3.882067919,3.471723124,2.703703515,3.187900201,2.951881498,2.793434219,3.678069033,3.081209629,3.320707875,3.109080987,2.917305653,3.400801354,3.346025344,2.153669727,2.425891305
700028,James Roth,2.569331929285714,White,40,42.903734904761905,249973,34.51024290623438,-110.65319885603377,1.959063852,1.722265205,1.983987581,1.858980152,2.844010584,2.695770794,2.954236425,2.571920957,3.217605759,2.613440709,2.426675949,2.026365512,2.287135557,2.742291755,2.872145012,2.863587434,3.132624707,3.364545105,2.973833736,3.043296254,2.472043851,2.070593725,2.06395346,1.742552219,2.913321776,2.944611757,3.306732674,2.273701519
700029,Andrea Nelson,1.4465935001785717,White,39,67.85347777380952,336824,35.5837967243166,-109.87843910865479,2.557271797,2.142268897,1.992510237,2.409663593,2.316460241,2.250826511,1.947025983,1.606158206,1.067477583,1.205684098,1.113155888,0.973943711,2.27243791,1.251822077,1.467180322,1.012996715,0.700431371,0.382823777,0.215086871,0.036987587,2.298280648,1.579746085,1.866608663,1.692356279,1.545270269,1.319358755,0.795884344,0.484899587
700030,Katelyn Gutierrez,2.733648163392857,Hispanic,53,39.252263035714286,354845,36.25990521737669,-111.33741902310632,3.170279115,3.157361544,3.011926229,2.827754142,3.414327975,3.407317161,2.677756314,2.528856521,2.584952829,2.673601258,3.145946055,2.379267966,2.611649182,2.120075627,2.41014911,2.232829892,2.911428334,2.752528979,2.661096069,3.107088861,2.706105672,2.379840549,3.156207872,2.296519905,2.321344872,2.835394619,3.13028384,1.930258083
700031,Dwayne Bruce,2.410929383892857,East Asian,82,46.42379146904763,315789,35.4380105585503,-112.43027771635239,2.764805509,2.459692883,2.304503208,2.669158769,2.546793013,2.594631197,2.368199839,2.129527131,2.686394651,2.473786965,2.708749042,2.638754653,2.858226723,2.785199408,2.324032481,3.245213403,1.689366269,2.33718347,2.203567825,2.454383384,2.374981695,1.948218328,2.397042525,2.10252836,1.899704313,1.313648039,2.263818356,2.96391131
700032,Douglas Fleming,3.0668640976785717,East Asian,81,31.847464496031748,405764,35.12923777729283,-110.9852192340586,3.454236529,3.303717157,2.93973717,3.435059235,3.49409773,3.577503844,3.705832583,3.218131904,2.857097982,3.075707374,3.015864217,2.952665754,2.921526806,2.909245005,3.306911926,3.020761508,3.098753167,2.837357547,2.498222131,2.428386328,3.415545258,2.450101485,3.28503755,2.593386571,3.553355037,2.949515871,3.144894927,2.429542139
700033,Nathaniel Evans,4.196803245714285,Hispanic,84,6.737705650793657,95462,34.91622027464989,-109.72334574370024,4.848459108,4.545580723,4.175182636,4.271920366,4.059300727,3.171791971,4.16352498,4.079295114,4.08714317,2.938484966,3.873107289,3.174142483,3.255916496,4.093079663,4.347114766,4.32541438,4.506050244,4.054065636,3.891682705,4.641498341,4.474509588,4.570934476,4.907717255,5.010953414,4.363565518,3.91994124,5.300950703,4.459162922
700034,Heather Long,3.380654512250001,Black,1,24.87434417222221,12263,36.04057672453045,-109.7845934500577,3.515718413,3.27212871,3.330755776,3.128180048,3.291433685,3.075732485,3.397435277,3.708302228,3.450819135,2.97659767,3.46618499,3.691515349,3.180219186,2.588642312,3.215710891,3.075199304,3.183613008,2.879070532,2.923511394,2.955475812,3.76700047,3.457443209,3.17340751,3.036527569,4.115919706,3.72222231,4.879520031,4.200039333
700035,Dr. Emily Horton,3.690789312678572,South Asian,21,17.98245971825395,231587,34.447945826626835,-111.66886315330264,3.653945634,4.244164909,3.759757879,3.980858953,4.202996619,4.201260072,4.088586826,3.772839933,3.427798571,3.673005559,4.293260056,3.899135928,3.62032361,3.306303863,4.822213092,4.225268249,3.979479051,3.789011737,4.099734373,3.826431971,3.239294704,2.68151586,2.845128289,2.338970681,3.713307864,3.650103338,3.266570646,2.740832488
700036,Jesse Gonzalez,2.7917882715714293,South Asian,31,37.96026063174601,351090,35.25530709437844,-110.74434760420466,2.778757196,3.009129898,2.865980622,2.666841192,2.783473721,2.851901391,3.170907454,3.090344909,3.082387886,3.060025614,2.942347402,2.668803845,2.973940794,3.584769979,2.73350435,2.655430835,3.132127158,3.104132749,1.997952624,2.65103049,2.277647841,2.233155557,2.456450006,2.399656515,3.110250762,2.703268593,2.133255788,3.052596433
700037,Frank Brown,3.517467394,White,19,21.834057911111103,93877,36.143871462073065,-111.98689831779456,3.564987248,3.486501648,3.874916026,3.624099829,4.148256371,3.09183224,3.442893825,3.32541813,2.560438725,2.388061756,3.625096067,3.551747796,4.131984459,3.591862544,3.723374344,3.609806695,3.26344275,3.220766507,3.286485434,3.380714042,3.393541539,3.791019879,3.830120975,3.303862015,3.915288726,3.869140125,3.546767306,3.946660031
700038,Ryan Olson,2.4822960985357136,Hispanic,12,44.837864476984144,111869,35.41695563891133,-111.73661675322313,3.792290798,3.245246688,3.043016991,2.987601786,3.108284903,2.878038813,2.581531971,2.748584259,2.790861347,3.012249361,2.444665476,2.523960162,2.539375064,1.993213393,2.547020963,1.906511706,2.762577048,2.577936562,2.033769149,1.890422518,2.504740521,2.659869953,1.851693731,1.847309098,1.705923959,1.756509289,2.275654643,1.495430607
700039,Anne Conner,3.744727139464286,East Asian,99,16.783841345238088,120381,34.93056514734022,-111.99321824632001,3.229008536,3.522017044,3.875081528,4.066262974,3.494045176,3.450330934,3.584411318,3.381871259,3.386879621,3.672711218,4.113741687,3.98065803,3.834075884,4.239596875,3.916146824,4.080463627,3.725123567,3.405821351,3.821626015,3.491928888,3.814857879,3.661255861,3.907420068,3.676077407,3.685493841,4.148306973,4.131239542,3.555905978
700040,Alexander Smith,2.4225939757142854,White,51,46.164578317460325,343541,36.42155276113466,-109.48286551695126,2.551988651,2.257002526,2.328226738,2.074091379,2.139425784,1.775174471,1.909856995,1.882585293,1.985447943,1.935925405,1.684353648,1.828624998,3.171841378,2.723440342,2.140379745,2.411691591,2.408987249,2.339225971,2.66025565,2.794549396,2.456222572,2.992999115,3.10476336,2.704995439,3.165694501,2.503496119,2.766996681,3.13438838
700041,Alicia Garcia,2.5388805328928568,Black,80,43.58043260238096,77872,33.50995241088225,-111.51422429853804,2.815922469,2.466293535,2.84939551,2.933481477,1.726469906,2.083490593,2.743884639,2.442864072,1.806711737,2.175899638,2.321867023,2.286802791,2.343227239,2.361813965,2.721763233,2.272922122,2.414890074,2.388880684,2.541441989,2.791563413,3.528337796,3.07945678,2.225122724,2.777121064,3.084171894,2.911236412,2.501339652,2.49228249
700042,Kimberly Black,2.976267714428571,East Asian,40,33.86071745714287,445132,36.100683744411,-109.35803810705255,3.284181003,3.315906771,3.346946981,3.305993669,3.188353808,3.079325124,2.808804993,3.151009827,2.520428992,2.712059776,2.895725634,2.76894084,2.719077819,2.679455586,3.41607941,3.391558123,2.553243218,2.57658359,3.21204072,2.943313077,2.690949417,2.402307871,2.358852164,2.558282323,2.900829976,3.371711779,3.961866044,3.221667469
700043,Tyler Johnson,4.315138734892857,White,95,4.108028113492068,160812,34.5018923687446,-110.39233009591518,4.016543412,4.326844228,4.524913178,4.947421645,5.483008783,5.083981314,4.916632502,4.514038858,5.386582172,5.127511028,4.7496752,4.233613953,4.070353687,4.060438802,3.726887709,3.881389606,3.925548562,3.53217715,3.236922665,4.130193003,5.007745348,3.937857757,3.922776002,4.322767695,4.228758845,4.274544582,3.090638866,4.164118025
700044,Sarah Stanley MD,3.427532117249999,South Asian,94,23.83261961666669,123617,35.93015594002996,-110.25115596276426,2.953476712,3.909800056,3.885739178,3.512156328,2.228054369,2.905173896,4.035325868,3.419321321,2.905509406,3.059283648,3.635185822,3.593263384,3.874913358,3.962860882,4.485274612,4.427060722,3.362746171,3.093256869,2.92204895,2.565502062,2.796253004,3.18570934,3.582656843,3.609039356,2.961711421,3.120613485,4.236738584,3.742223636
700045,Regina Kim,4.330278086928571,White,71,3.7715980682539794,253400,34.67766181484494,-110.35676870577097,3.821969949,3.805945902,3.683471247,3.74389297,3.866913814,3.9396675,3.684879512,3.758097432,4.532233043,4.78405231,4.322076962,3.997163189,4.217619235,3.864217643,3.952240582,4.660408961,4.873976449,5.083913961,4.782747892,4.210701174,5.207706788,5.55171603,5.143800144,4.876771163,4.330975798,4.153703724,4.604568009,3.792355051
700046,Robert Tran,3.031643785321428,East Asian,7,32.630138103968264,310395,33.59132300398095,-110.41996750421235,3.702566059,3.524638085,3.383820557,3.562415575,2.89267447,2.93392914,3.242143146,3.738090141,3.301155352,3.204267523,3.266173031,2.892160298,3.639547268,2.941001405,3.023317711,2.621783703,2.656348471,2.318432853,2.550783767,2.838314448,2.766215909,2.81279881,3.393237281,2.434657161,2.944197117,2.531722889,2.906380133,2.863253686
700047,Melissa Roberts,2.481041409142857,East Asian,51,44.86574646349206,417723,33.815343559092895,-109.75512693116822,2.34813054,2.337886929,2.240831469,2.318189929,2.377520484,2.378227915,2.438100661,2.736093899,2.620841389,2.391923785,2.656565575,2.57222185,2.593640338,2.142345429,1.975266813,2.211748748,2.326957606,2.542535526,2.324126783,2.933807361,2.923669642,3.052008081,1.975040578,2.592858956,2.8318699,2.509077063,2.469171858,2.648500349
700048,Brandon Smith,1.2123925043928574,East Asian,31,73.0579443468254,492861,36.119276031872964,-112.42215449411185,0.726074707,0.38243594,0.495618889,0.706044408,1.320077124,1.512405925,0.934289026,1.540898857,1.684425518,1.420054363,1.262916493,0.471184144,2.131813733,1.664010959,1.499676816,1.122258913,0.541743034,0.29603356,0.70950199,0.360716012,1.810959132,1.127333974,1.677310434,1.461945775,1.814536857,1.60537482,2.441045802,1.226302918
700049,Shaun Cantrell,3.107796141142857,South Asian,50,30.937863530158737,255789,34.42652163833503,-110.91612325225964,3.09590293,2.845714303,3.452920604,3.120741116,3.029922044,3.850971765,3.054851857,3.301998412,2.828514671,2.916230814,3.098547121,2.77791588,2.41067225,2.387901192,2.969025983,3.148019121,3.442500799,3.232528374,3.899010665,3.658467869,3.472078876,3.242485369,3.347036934,3.973655064,3.562451319,2.963295809,2.386947205,1.547983606
700050,Kimberly Beck DVM,3.5411164790357144,White,88,21.308522688095238,364178,34.30195264238909,-111.7729652504638,4.103779258,4.151266818,3.62596388,3.764352568,3.455181655,3.670826419,3.457827304,3.917867771,3.308534603,3.411233739,3.281941234,2.954424943,3.244742382,3.464164721,2.814789982,3.10652747,2.496629574,3.694335636,2.860047459,3.040503376,3.391690145,3.866021227,3.453959753,3.883168749,4.244251342,4.872250688,4.1342162,3.480762517
700051,Tricia Brewer,3.9550681517142863,East Asian,93,12.109596628571424,117496,35.65825214869544,-112.28922907509283,3.679145634,3.669189202,3.772602556,4.475357099,4.394460959,4.300399947,4.057152636,4.056751564,3.355446435,2.713791358,3.599888689,4.05375757,3.487533393,4.042226669,3.928666457,4.311738052,3.683974001,3.547685055,3.604326396,4.268112109,4.102848318,3.949565953,4.580584184,4.883435808,3.822519241,4.435171493,3.991273117,3.974304353
700052,Nathaniel Johnson,2.683650248785715,East Asian,97,40.363327804761894,36557,35.630133749601015,-111.3448242572485,2.648809898,1.814994377,1.628016343,2.314132751,2.062631632,2.315019817,2.316140441,2.388109513,2.985390446,3.103488802,2.823910984,3.192225481,2.876229195,3.334713747,3.149154296,2.64982073,3.490666816,3.211284286,2.981955861,2.886904266,2.624329437,2.070908268,2.855900028,2.587172931,2.820780766,2.554208153,3.19550871,2.259798991
700053,Christian Washington,0.8742522457142856,East Asian,89,80.57217231746031,198574,35.10393939695975,-110.67846998074506,1.502225527,1.346609095,1.084150289,1.447783037,0.97410801,0.742526571,0.73865616,1.070442558,1.143452699,1.074981745,1.250310448,0.244973489,0.96533786,1.18157392,0.385543552,0.594236109,1.35165172,1.103303136,0.589342268,0.686838936,0.453537632,0.753513719,0.659691998,0.553390171,0.877948181,0.842858198,0.679523256,0.180552596
700054,Frederick Romero,2.1969101322499998,Black,33,51.17977483888889,493534,34.48747443764039,-112.49533296791135,2.194756619,1.825459483,2.044897594,2.13302058,2.043356629,2.169304945,2.240055682,2.705638602,3.277127329,2.414992879,2.323991412,2.353062068,1.643320553,2.147671504,1.98529116,2.043681489,2.135495037,1.853857039,2.899122189,1.937803345,2.489127912,2.450198401,2.164806289,1.806573006,2.330936688,1.646715081,1.946175914,2.307044274
700055,Lisa Sanders,2.981662697714285,East Asian,49,33.74082893968256,401496,36.31549546623857,-111.05287369012517,3.07935291,2.993192262,2.683014082,2.173911784,3.215228344,3.406322503,3.106335931,3.181250459,2.222714286,2.279936887,2.771408664,3.228543953,2.918756067,2.303172169,2.849910284,2.583821128,3.319545181,3.250197891,2.853027009,3.594885485,3.419970791,3.166084535,2.311010757,2.305448717,3.869363705,3.272146927,3.557360463,3.570642362
700056,Samuel Murray,2.83821507325,South Asian,73,36.92855392777778,41439,34.198529084159006,-110.07263062912403,2.517706353,2.024665258,2.371966972,2.35822018,3.469644709,2.401952029,3.239379724,3.449201212,3.063696898,2.848897675,2.246877171,2.781299826,2.608836525,3.007730638,3.427336962,3.227513521,2.695739491,3.2333852,3.930391305,3.640306732,2.736070427,3.193443391,2.604462635,3.320783451,2.447752556,2.696506723,2.321984997,1.60426949
700057,Matthew Kelly,4.106858287571428,South Asian,23,8.736482498412713,388469,34.473877063858254,-112.0424111430619,4.395348836,4.553161156,4.429267895,4.137482707,4.741206954,4.539526891,4.316892749,4.368674408,4.370223472,4.102495584,4.078544217,3.741885293,4.423624658,4.441310193,3.838616017,4.26857702,3.706221766,3.545983959,4.376062057,4.164740837,3.845959856,3.840185514,4.12742046,4.35037344,3.659364036,3.23155932,3.845584541,3.551738216
700058,Karen Benson,1.9119268304285717,White,65,57.5127371015873,297226,35.44930206992575,-110.33376486122023,2.043754608,2.468115578,2.700008986,2.54914706,1.820500551,2.00008442,1.704576017,1.941990139,2.758196646,2.789255973,2.063111934,1.599195219,2.276279858,1.719528481,2.013867125,2.091227255,1.692475944,1.271503885,0.981638299,1.059254542,1.792142975,1.235842167,1.649201875,1.433909368,2.4824853,1.740133997,1.580077309,2.076445741
700059,David Singh,2.563198329714285,White,56,43.04003711746033,355660,34.267932529513146,-111.44999470768228,2.550394443,2.649339714,2.890330706,2.356846612,2.480849515,2.542360411,2.672531254,2.745587218,2.357417618,2.373653182,2.709584681,2.541624989,2.954950826,2.777947973,3.611592963,3.667020338,3.398979574,3.191180935,2.782980684,3.13112124,2.683814098,2.716128517,2.447175846,2.055429965,1.748918166,1.204075823,1.127070199,1.400645742
700060,Scott Smith,2.5027060440357145,White,98,44.384310132539674,238353,33.88488117137176,-109.78015889829794,2.556183565,2.596936694,2.301100983,3.000776329,2.286027136,2.59893123,3.156945612,2.907567735,3.104516468,2.863667284,2.741658732,2.395070734,2.156475198,2.21582746,1.680361025,2.037981901,2.733165721,2.817733939,2.582990462,2.202179516,2.203482871,2.573077134,2.383019442,1.921604223,3.066988313,2.206429376,1.769556459,3.015513691
